No Cargo de Exercício - REGIÃO,No Cargo de Exercício - DIRETORIA DE ENSINO,6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - EFETIVO,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG.     ""F""    ",6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - ESTÁ- VEL   ,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG    ""L""",6407 - PROF. EDUC. BÁSICA I - 1-TOTAL  PERMA-  NENTE,6407 - PROF. EDUC. BÁSICA I - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC. BÁSICA I - TOTAL                 PEB-I              CLASSE  ,6407 - PROF. EDUC.  BÁSICA I - AULA - 1-TOTAL  PERMA-  NENTE (CATEG. F),6407 - PROF. EDUC.  BÁSICA I - AULA - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC.  BÁSICA I - AULA - TOTAL               PEB-I                     AULA,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - EFETIVO,"6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - CATEG.        ""F""  ",6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - ESTÁ- VEL   ,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - C.L.T.,6409 - PROF. EDUC. BÁSICA II - 1-TOTAL  PERMA-  NENTE,6409 - PROF. EDUC. BÁSICA II - 2- TOTAL         TEMPO- RÁRIO ,6409 - PROF. EDUC. BÁSICA II - TOTAL             PEB -II,6408 - PROFESSOR II -  QUADRO PERMANENTE - CATEG 'F',6408 - PROFESSOR II -  QUADRO PERMANENTE - ESTÁ-  VEL,6408 - PROFESSOR II - TOTAL PROF. II,TOTAL DOCENTES,,,
GDE_SP       ,D.E.REG. ITAPEVI              , 65 , 7 , -   , -   , 72 , -   , 72 , 66 , 111 , 177 , 1.257 , 508 , 3 , -   , 1.768 , 201 , 1.969 , -   , -   , -   , 2.218 ,,,
GDE_SP       ,D.E.REG. ITAQUAQUECETUBA      , 42 , 63 , -   , -   , 105 , 2 , 107 , 56 , 48 , 104 , 1.728 , 591 , 1 , -   , 2.320 , 152 , 2.472 , -   , -   , -   , 2.683 ,,,
GDE_SP       ,D.E.REG. MAUA                 , 659 , 333 , -   , -   , 992 , 244 , 1.236 , 37 , 67 , 104 , 2.103 , 577 , 1 , -   , 2.681 , 65 , 2.746 , 1 , -   , 1 , 4.087 ,,,
GDE_SP       ,D.E.REG. MOGI CRUZES          , 117 , 58 , -   , -   , 175 , 11 , 186 , 28 , 137 , 165 , 1.567 , 419 , 1 , -   , 1.987 , 144 , 2.131 , -   , -   , -   , 2.482 ,,,
GDE_SP       ,D.E.REG. OSASCO               , 16 , 4 , -   , -   , 20 , 1 , 21 , 56 , 117 , 173 , 1.868 , 456 , 1 , -   , 2.325 , 165 , 2.490 , -   , -   , -   , 2.684 ,,,
GDE_SP       ,D.E.REG. SANTO ANDRE          , 364 , 99 , -   , -   , 463 , 186 , 649 , 33 , 79 , 112 , 1.893 , 458 , 2 , -   , 2.353 , 203 , 2.556 , -   , 1 , 1 , 3.318 ,,,
GDE_SP       ,D.E.REG. SAO BERNARDO CAMPO   , 15 , 12 , -   , -   , 27 , 1 , 28 , 65 , 68 , 133 , 2.460 , 551 , 3 , -   , 3.014 , 171 , 3.185 , 1 , -   , 1 , 3.347 ,,,
GDE_SP       ,D.E.REG. SUZANO               , 180 , 157 , -   , -   , 337 , 58 , 395 , 23 , 55 , 78 , 1.774 , 550 , 1 , -   , 2.325 , 106 , 2.431 , -   , -   , -   , 2.904 ,,,
GDE_SP       ,D.E.REG. TABOAO SERRA         , 103 , 92 , 3 , -   , 198 , 57 , 255 , 37 , 80 , 117 , 1.758 , 489 , 1 , -   , 2.248 , 154 , 2.402 , -   , -   , -   , 2.774 ,,,
INTERIOR     ,D.E.REG. ADAMANTINA           , 27 , 14 , -   , -   , 41 , 14 , 55 , 16 , 44 , 60 , 633 , 276 , 3 , -   , 912 , 126 , 1.038 , -   , -   , -   , 1.153 ,,,
INTERIOR     ,D.E.REG. AMERICANA            , 200 , 65 , 1 , -   , 266 , 88 , 354 , 23 , 203 , 226 , 1.218 , 314 , 2 , -   , 1.534 , 183 , 1.717 , 1 , -   , 1 , 2.298 ,,,
INTERIOR     ,D.E.REG. ANDRADINA            , 23 , 17 , 1 , -   , 41 , 10 , 51 , 18 , 28 , 46 , 478 , 187 , -   , -   , 665 , 87 , 752 , 1 , -   , 1 , 850 ,,,
INTERIOR     ,D.E.REG. APIAI                , 34 , 42 , 1 , -   , 77 , 24 , 101 , 36 , 53 , 89 , 373 , 146 , -   , -   , 519 , 71 , 590 , -   , -   , -   , 780 ,,,
INTERIOR     ,D.E.REG. ARACATUBA            , 31 , 26 , -   , -   , 57 , 8 , 65 , 21 , 52 , 73 , 682 , 231 , 2 , -   , 915 , 86 , 1.001 , -   , -   , -   , 1.139 ,,,
INTERIOR     ,D.E.REG. ARARAQUARA           , 193 , 64 , -   , -   , 257 , 153 , 410 , 43 , 86 , 129 , 903 , 203 , 1 , -   , 1.107 , 138 , 1.245 , -   , -   , -   , 1.784 ,,,
INTERIOR     ,D.E.REG. ASSIS                , 40 , 12 , -   , -   , 52 , 18 , 70 , 23 , 46 , 69 , 739 , 193 , 1 , -   , 933 , 123 , 1.056 , -   , -   , -   , 1.195 ,,,
INTERIOR     ,D.E.REG. AVARE                , 15 , 28 , -   , -   , 43 , 18 , 61 , 13 , 82 , 95 , 545 , 115 , -   , -   , 660 , 116 , 776 , -   , -   , -   , 932 ,,,
INTERIOR     ,D.E.REG. BARRETOS             , 61 , 8 , -   , -   , 69 , -   , 69 , 16 , 16 , 32 , 597 , 186 , -   , -   , 783 , 90 , 873 , -   , -   , -   , 974 ,,,
INTERIOR     ,D.E.REG. BAURU                , 282 , 123 , -   , -   , 405 , 200 , 605 , 37 , 125 , 162 , 1.564 , 378 , 5 , -   , 1.947 , 163 , 2.110 , -   , 1 , 1 , 2.878 ,,,
INTERIOR     ,D.E.REG. BIRIGUI              , 17 , 14 , -   , -   , 31 , 1 , 32 , 14 , 31 , 45 , 462 , 122 , 1 , -   , 585 , 88 , 673 , -   , 1 , 1 , 751 ,,,
INTERIOR     ,D.E.REG. BOTUCATU             , 39 , 15 , -   , -   , 54 , 3 , 57 , 17 , 64 , 81 , 662 , 185 , -   , -   , 847 , 94 , 941 , -   , -   , -   , 1.079 ,,,
INTERIOR     ,D.E.REG. BRAGANCA PAULISTA    , 71 , 25 , -   , -   , 96 , 26 , 122 , 35 , 121 , 156 , 1.291 , 286 , 2 , -   , 1.579 , 223 , 1.802 , -   , -   , -   , 2.080 ,,,
INTERIOR     ,D.E.REG. CAMPINAS LESTE       , 424 , 198 , -   , -   , 622 , 73 , 695 , 16 , 58 , 74 , 1.124 , 278 , 3 , -   , 1.405 , 107 , 1.512 , -   , 1 , 1 , 2.282 ,,,
INTERIOR     ,D.E.REG. CAMPINAS OESTE       , 607 , 318 , -   , -   , 925 , 324 , 1.249 , 41 , 82 , 123 , 1.893 , 433 , -   , -   , 2.326 , 171 , 2.497 , -   , -   , -   , 3.869 ,,,
INTERIOR     ,D.E.REG. CAPIVARI             , 49 , 5 , -   , -   , 54 , -   , 54 , 20 , 101 , 121 , 892 , 184 , -   , -   , 1.076 , 113 , 1.189 , -   , -   , -   , 1.364 ,,,
INTERIOR     ,D.E.REG. CARAGUATATUBA        , 64 , 7 , -   , -   , 71 , 12 , 83 , 22 , 46 , 68 , 734 , 231 , 1 , -   , 966 , 94 , 1.060 , -   , -   , -   , 1.211 ,,,
INTERIOR     ,D.E.REG. CATANDUVA            , 51 , 15 , -   , -   , 66 , -   , 66 , 20 , 9 , 29 , 543 , 188 , -   , -   , 731 , 42 , 773 , -   , -   , -   , 868 ,,,
INTERIOR     ,D.E.REG. FERNANDOPOLIS        , 28 , 20 , -   , -   , 48 , -   , 48 , 4 , 13 , 17 , 454 , 229 , -   , -   , 683 , 69 , 752 , -   , -   , -   , 817 ,,,
INTERIOR     ,D.E.REG. FRANCA               , 206 , 80 , -   , -   , 286 , 45 , 331 , 22 , 49 , 71 , 1.360 , 344 , -   , -   , 1.704 , 176 , 1.880 , -   , -   , -   , 2.282 ,,,
INTERIOR     ,D.E.REG. GUARATINGUETA        , 38 , 26 , 1 , -   , 65 , 5 , 70 , 57 , 62 , 119 , 1.169 , 363 , -   , -   , 1.532 , 88 , 1.620 , -   , -   , -   , 1.809 ,,,
INTERIOR     ,D.E.REG. ITAPETININGA         , 43 , 42 , 1 , -   , 86 , 25 , 111 , 49 , 125 , 174 , 1.111 , 390 , -   , -   , 1.501 , 145 , 1.646 , -   , -   , -   , 1.931 ,,,
INTERIOR     ,D.E.REG. ITAPEVA              , 18 , 6 , -   , -   , 24 , -   , 24 , 25 , 30 , 55 , 374 , 161 , -   , -   , 535 , 56 , 591 , -   , -   , -   , 670 ,,,
INTERIOR     ,D.E.REG. ITARARE              , 43 , 18 , -   , -   , 61 , 28 , 89 , 13 , 33 , 46 , 358 , 110 , 1 , -   , 469 , 72 , 541 , -   , -   , -   , 676 ,,,
INTERIOR     ,D.E.REG. ITU                  , 120 , 38 , -   , -   , 158 , 49 , 207 , 19 , 171 , 190 , 1.184 , 263 , 1 , -   , 1.448 , 180 , 1.628 , -   , -   , -   , 2.025 ,,,
INTERIOR     ,D.E.REG. JABOTICABAL          , 80 , 18 , -   , -   , 98 , 1 , 99 , 14 , 41 , 55 , 613 , 154 , -   , -   , 767 , 83 , 850 , -   , -   , -   , 1.004 ,,,
INTERIOR     ,D.E.REG. JACAREI              , 72 , 57 , -   , -   , 129 , 1 , 130 , 30 , 73 , 103 , 1.278 , 374 , -   , -   , 1.652 , 129 , 1.781 , -   , -   , -   , 2.014 ,,,
INTERIOR     ,D.E.REG. JALES                , 57 , 22 , -   , -   , 79 , 8 , 87 , 40 , 4 , 44 , 598 , 373 , 2 , -   , 973 , 50 , 1.023 , -   , -   , -   , 1.154 ,,,
INTERIOR     ,D.E.REG. JAU                  , 65 , 51 , -   , -   , 116 , 4 , 120 , 22 , 60 , 82 , 1.046 , 214 , 2 , -   , 1.262 , 139 , 1.401 , 1 , -   , 1 , 1.604 ,,,
INTERIOR     ,D.E.REG. JOSE BONIFACIO       , 40 , 16 , -   , -   , 56 , 25 , 81 , 14 , 27 , 41 , 632 , 187 , 4 , -   , 823 , 78 , 901 , -   , -   , -   , 1.023 ,,,
INTERIOR     ,D.E.REG. JUNDIAI              , 171 , 4 , -   , -   , 175 , 1 , 176 , 17 , 149 , 166 , 1.817 , 315 , -   , 1 , 2.133 , 200 , 2.333 , -   , -   , -   , 2.675 ,,,
INTERIOR     ,D.E.REG. LIMEIRA              , 89 , 10 , -   , -   , 99 , 33 , 132 , 19 , 143 , 162 , 1.625 , 297 , 1 , -   , 1.923 , 215 , 2.138 , 1 , -   , 1 , 2.433 ,,,
INTERIOR     ,D.E.REG. LINS                 , 86 , 84 , -   , -   , 170 , 60 , 230 , 9 , 53 , 62 , 533 , 197 , -   , -   , 730 , 93 , 823 , -   , -   , -   , 1.115 ,,,
INTERIOR     ,D.E.REG. MARILIA              , 114 , 33 , 1 , -   , 148 , 59 , 207 , 29 , 113 , 142 , 942 , 240 , 3 , -   , 1.185 , 189 , 1.374 , -   , -   , -   , 1.723 ,,,
INTERIOR     ,D.E.REG. MIR. PARANAPANEMA    , 34 , 41 , 1 , -   , 76 , 28 , 104 , 22 , 27 , 49 , 414 , 177 , -   , -   , 591 , 92 , 683 , -   , -   , -   , 836 ,,,
INTERIOR     ,D.E.REG. MIRACATU             , 14 , 15 , 1 , -   , 30 , 10 , 40 , 42 , 47 , 89 , 489 , 117 , -   , -   , 606 , 40 , 646 , -   , -   , -   , 775 ,,,
INTERIOR     ,D.E.REG. MOGI MIRIM           , 173 , 43 , -   , -   , 216 , 57 , 273 , 34 , 98 , 132 , 1.269 , 319 , 3 , -   , 1.591 , 231 , 1.822 , -   , 1 , 1 , 2.228 ,,,
INTERIOR     ,D.E.REG. OURINHOS             , 53 , 18 , -   , -   , 71 , 21 , 92 , 13 , 23 , 36 , 653 , 207 , -   , -   , 860 , 99 , 959 , 1 , -   , 1 , 1.088 ,,,
INTERIOR     ,D.E.REG. PENAPOLIS            , 28 , 12 , -   , -   , 40 , 6 , 46 , 11 , 38 , 49 , 307 , 101 , -   , -   , 408 , 83 , 491 , -   , -   , -   , 586 ,,,
INTERIOR     ,D.E.REG. PINDAMONHANGABA      , 29 , 23 , -   , -   , 52 , 4 , 56 , 38 , 51 , 89 , 719 , 160 , -   , -   , 879 , 95 , 974 , -   , -   , -   , 1.119 ,,,
INTERIOR     ,D.E.REG. PIRACICABA           , 178 , 35 , -   , -   , 213 , 13 , 226 , 23 , 140 , 163 , 1.154 , 257 , -   , -   , 1.411 , 198 , 1.609 , -   , -   , -   , 1.998 ,,,
INTERIOR     ,D.E.REG. PIRAJU               , 6 , 3 , -   , -   , 9 , -   , 9 , 9 , 28 , 37 , 271 , 68 , 1 , -   , 340 , 38 , 378 , -   , -   , -   , 424 ,,,
INTERIOR     ,D.E.REG. PIRASSUNUNGA         , 95 , 21 , -   , -   , 116 , 43 , 159 , 33 , 43 , 76 , 1.029 , 230 , 1 , -   , 1.260 , 101 , 1.361 , 1 , -   , 1 , 1.597 ,,,
INTERIOR     ,D.E.REG. PRES. PRUDENTE       , 24 , 26 , 1 , -   , 51 , 7 , 58 , 30 , 65 , 95 , 846 , 248 , 3 , -   , 1.097 , 119 , 1.216 , -   , -   , -   , 1.369 ,,,
INTERIOR     ,D.E.REG. REGISTRO             , 23 , 27 , 1 , -   , 51 , 3 , 54 , 21 , 77 , 98 , 686 , 181 , 4 , -   , 871 , 78 , 949 , -   , -   , -   , 1.101 ,,,
INTERIOR     ,D.E.REG. RIBEIRAO PRETO       , 452 , 145 , -   , -   , 597 , 270 , 867 , 35 , 41 , 76 , 1.859 , 413 , 2 , -   , 2.274 , 183 , 2.457 , -   , -   , -   , 3.400 ,,,
